title,journal,year,doi,authors,keyword
Developing Mathematical Problem-Solving Skills in Elementary Learners Through Collaborative Learning,Journal of Elementary Education,2021,10.1016/j.jee.2021.03.012,"Santos, M. R.; Dela Cruz, A. P.; Reyes, J. T.",collaborative learning mathematics
Flipped Classroom Approach in Elementary Mathematics: Effects on Engagement and Performance,International Journal of Mathematical Education in Science and Technology,2023,10.1080/0020739X.2022.2163616,"Smith, R. A.; Jones, C. B.; Davis, M. E.",flipped classroom mathematics
Use of Manipulatives in Teaching Fraction Concepts in the Elementary Grades,School Science and Mathematics,2021,10.1111/ssm.12451,"White, C. B.; Young, D. E.; Allen, F. G.",manipulatives fraction concepts elementary
Cooperative Learning and Its Impact on Student Attitudes Toward Mathematics,Journal of Educational Research,2020,10.1080/00220671.2020.1767067,"Bernal, L. P.; Manalansan, T. H.; Ocampo, S. M.",cooperative learning mathematics attitudes
Effects of Music Integration on Numeracy Skills of Early Elementary Students,Psychology of Music,2022,10.1177/03057356221088543,"Morales, D. T.; Espino, A. B.; Reyes, C. N.",music integration numeracy
Number Sense Development in Grade 1 Using Concrete-Pictorial-Abstract Approach,Early Childhood Education Journal,2021,10.1007/s10643-021-01154-9,"Lim, P. A.; Tan, R. S.; Go, M. E.",number sense CPA approach
Error Analysis in Elementary Mathematics: Identifying Misconceptions in Whole Number Operations,Journal of Mathematics Teacher Education,2022,10.1007/s10857-022-09531-2,"Cruz, J. R.; Bautista, A. M.; Santos, C. T.",error analysis misconceptions mathematics
Teaching Geometry Through Geoboard Activities in Grade 3,School Science and Mathematics,2020,10.1111/ssm.12398,"Reyes, D. P.; Flores, M. B.; Villanueva, T. R.",geometry geoboard elementary
Effects of Singapore Math Approach on Grade 2 Pupils' Achievement,Asia Pacific Journal of Education,2023,10.1080/02188791.2023.2154017,"Aquino, B. L.; Mendoza, S. G.; Castillo, R. N.",Singapore math elementary achievement
Mathematical Vocabulary Instruction and Conceptual Understanding in Grade 4,Reading & Writing Quarterly,2021,10.1080/10573569.2021.1879456,"Garcia, T. F.; Fernandez, A. K.; Lopez, R. D.",mathematical vocabulary conceptual understanding
Impact of Real-World Problem Contexts on Elementary Math Motivation,Journal of Educational Psychology,2022,10.1037/edu0000692,"Wilson, H. E.; Clark, N. B.; Adams, P. J.",real-world contexts math motivation
Metacognitive Strategies and Math Performance Among Grade 5 Pupils,Metacognition and Learning,2021,10.1007/s11409-021-09263-9,"Reyes, C. M.; Torres, J. A.; Navarro, B. S.",metacognition math performance elementary
Mental Math Strategies and Arithmetic Fluency in Elementary Classrooms,Journal for Research in Mathematics Education,2020,10.5951/jresematheduc-2020-0013,"Santos, E. R.; Dela Torre, M. N.; Lim, A. C.",mental math arithmetic fluency
Culturally Relevant Math Problems and Engagement of Indigenous Learners,Journal of Mathematics and Culture,2022,10.1080/xxxxmath.2022.108934,"Padilla, R. T.; Alvarez, S. D.; Reyes, N. F.",culturally relevant mathematics indigenous learners
Peer Collaboration in Solving Word Problems Among Grade 3 Students,Learning and Individual Differences,2023,10.1016/j.lindif.2023.102245,"Brown, K. A.; Taylor, J. S.; Robinson, D. E.",peer collaboration word problems
The Impact of Play-Based Learning on Early Childhood Literacy Development,Early Childhood Education Journal,2020,10.1007/s10643-020-01043-x,"Garcia, L. M.; Fernandez, R. S.; Villanueva, C. D.",play-based learning literacy
Reading Comprehension Strategies for Elementary Students with Learning Difficulties,Journal of Learning Disabilities,2020,10.1177/0022219420920100,"Kim, H. J.; Park, S. Y.; Lee, J. W.",reading comprehension learning difficulties
Oral Language Development and Early Reading Achievement: Longitudinal Evidence,Journal of Speech Language and Hearing Research,2022,10.1044/2021_JSLHR-21-00410,"Cruz, B. A.; Reyes, N. T.; Santos, M. C.",oral language development early reading
Peer Tutoring as a Strategy for Improving Reading Fluency in Elementary Schools,Reading & Writing Quarterly,2021,10.1080/10573569.2020.1842835,"Clark, H. F.; Lewis, R. P.; Hall, M. Q.",peer tutoring reading fluency
Socioeconomic Status and Literacy Achievement Gaps in Elementary Schools,Reading Research Quarterly,2022,10.1002/rrq.436,"Rivera, C. M.; Flores, T. E.; Vargas, A. D.",socioeconomic status literacy achievement gap
The Effectiveness of Storytelling in Developing Language Skills Among Early Graders,Language Teaching Research,2021,10.1177/1362168820959694,"Huang, X. Y.; Chen, W. Z.; Liu, J. F.",storytelling language development
Phonemic Awareness Instruction and Early Reading Success in Kindergarten,Journal of Early Childhood Literacy,2020,10.1177/1468798420920442,"Santos, A. P.; Reyes, C. B.; Lim, J. S.",phonemic awareness early reading
Shared Reading Practices and Vocabulary Growth in Grade 1 Classrooms,Reading Teacher,2021,10.1002/trtr.1989,"Dela Cruz, M. T.; Torres, R. A.; Cruz, P. B.",shared reading vocabulary growth
Independent Reading Programs and Reading Attitude Among Grade 4 Pupils,Journal of Research in Reading,2022,10.1111/1467-9817.12388,"Johnson, A. E.; Williams, K. B.; Martinez, L. S.",independent reading reading attitude
Guided Reading Instruction and Comprehension Monitoring in Elementary Grades,Literacy Research and Instruction,2023,10.1080/19388071.2023.2156234,"Aquino, T. D.; Bautista, F. G.; Castillo, M. R.",guided reading comprehension monitoring
Digital Storytelling and Narrative Writing Competence Among Grade 4 Pupils,Journal of Literacy Research,2023,10.1177/10862296231165204,"Robinson, A. E.; Thompson, K. D.; Harris, J. B.",digital storytelling writing competence
Decodable Texts vs. Leveled Readers: Effects on Word Recognition and Fluency,Reading Psychology,2022,10.1080/02702711.2022.2036894,"Lee, H. M.; Park, J. T.; Kim, S. N.",decodable texts word recognition fluency
Close Reading Strategies and Text-Based Discussion in Grade 5,Elementary School Journal,2021,10.1086/715066,"Santos, R. C.; Reyes, A. P.; Flores, T. D.",close reading text-based discussion
Multimodal Texts and Reading Engagement Among Elementary Students,Computers & Education,2022,10.1016/j.compedu.2022.104489,"Garcia, M. S.; Fernandez, B. T.; Villanueva, C. E.",multimodal texts reading engagement
Writing Workshop Approach and Composition Skills in Grade 3 Classrooms,Written Communication,2020,10.1177/0741088320911430,"Cruz, A. N.; Bautista, C. L.; Reyes, D. M.",writing workshop composition skills
Effect of Inquiry-Based Learning on Science Achievement of Elementary Pupils,Asia-Pacific Science Education,2022,10.1186/s41029-022-00076-8,"Ramos, J. D.; Soriano, A. F.; Cruz, N. P.",inquiry-based learning science
Problem-Based Learning in Elementary Science: Effects on Conceptual Understanding,International Journal of Science Education,2021,10.1080/09500693.2020.1856285,"Pascual, J. A.; Domingo, R. M.; Reyes, S. C.",problem-based learning science conceptual understanding
The Role of Formative Assessment in Improving Elementary Students' Science Learning,Science Education,2021,10.1002/sce.21665,"Brown, D. L.; Taylor, E. M.; Robinson, K. F.",formative assessment science education
Environmental Education Integration in the Elementary Curriculum: Teacher Perspectives,Environmental Education Research,2022,10.1080/13504622.2022.2033411,"Padilla, R. S.; Alvarez, N. M.; Reyes, D. F.",environmental education curriculum integration
Science Notebooks as Tools for Conceptual Learning in Grade 4,Journal of Research in Science Teaching,2020,10.1002/tea.21643,"Adams, J. T.; Baker, M. S.; Campbell, R. E.",science notebooks conceptual learning
Hands-On Science Activities and Motivation Among Primary School Children,School Science and Mathematics,2021,10.1111/ssm.12441,"Tan, A. B.; Lim, C. D.; Go, E. F.",hands-on activities science motivation
Integrating STEM in Elementary Classrooms: A Mixed-Methods Study,Journal of Science Education and Technology,2022,10.1007/s10956-022-09972-1,"Santos, M. G.; Dela Cruz, R. H.; Reyes, A. I.",STEM integration elementary
Weather and Climate Misconceptions Among Grade 3 Learners,International Journal of Science Education,2021,10.1080/09500693.2021.1878460,"Wilson, B. C.; Moore, A. D.; Anderson, K. E.",misconceptions weather climate elementary
Animal Classification Activities and Scientific Reasoning in Grade 2,Early Childhood Education Journal,2020,10.1007/s10643-020-01085-1,"Lopez, R. T.; Torres, S. A.; Navarro, M. B.",animal classification scientific reasoning
Outdoor Science Learning and Environmental Stewardship in Elementary School,Environmental Education Research,2023,10.1080/13504622.2023.2167231,"Cruz, T. N.; Reyes, P. L.; Santos, K. M.",outdoor learning environmental stewardship
Interactive Science Demonstrations and Conceptual Change in Grade 5,Science Education,2022,10.1002/sce.21698,"Kim, S. J.; Park, H. Y.; Lee, D. K.",science demonstrations conceptual change
Biodiversity Education in Elementary Schools: Teaching Strategies and Outcomes,International Journal of Environmental and Science Education,2021,10.12973/ijese.2021.284a,"Reyes, C. A.; Flores, M. B.; Villanueva, S. C.",biodiversity education teaching strategies
Technology Integration in Elementary Classrooms: A Systematic Review,Computers & Education,2022,10.1016/j.compedu.2022.104512,"Johnson, A. K.; Williams, B. T.; Martinez, P. L.",technology integration elementary education
Gamification in Elementary Education: A Meta-Analytic Review of Academic Outcomes,Computers & Education,2022,10.1016/j.compedu.2022.104575,"Lee, S. H.; Park, J. Y.; Kim, D. W.",gamification elementary education outcomes
Tablet-Based Learning and Early Literacy in Kindergarten Classrooms,Journal of Computer Assisted Learning,2021,10.1111/jcal.12512,"Santos, B. R.; Dela Torre, A. S.; Lim, C. T.",tablet learning early literacy kindergarten
Educational Games and Mathematics Achievement Among Grade 3 Pupils,British Journal of Educational Technology,2022,10.1111/bjet.13143,"Garcia, K. F.; Fernandez, T. B.; Villanueva, M. D.",educational games mathematics achievement
Video-Based Instruction and Science Concept Learning in Grade 4,Educational Technology Research and Development,2021,10.1007/s11423-021-10012-8,"Aquino, D. R.; Bautista, S. G.; Castillo, A. M.",video instruction science concept learning
Online Learning Readiness of Elementary Teachers During the Pandemic,Teaching and Teacher Education,2021,10.1016/j.tate.2021.103291,"Cruz, M. P.; Reyes, T. N.; Santos, A. L.",online learning readiness elementary teachers
Interactive Whiteboards and Student Engagement in Primary Schools,Journal of Interactive Media in Education,2020,10.5334/jime.508,"Brown, E. J.; Taylor, P. K.; Robinson, S. F.",interactive whiteboard student engagement
Coding and Computational Thinking in Elementary Education: Teacher Perceptions,Computers & Education,2023,10.1016/j.compedu.2023.104712,"Reyes, S. A.; Torres, M. C.; Navarro, T. B.",coding computational thinking elementary
Augmented Reality Applications in Elementary Science Instruction,British Journal of Educational Technology,2022,10.1111/bjet.13167,"Lee, J. M.; Park, C. S.; Kim, Y. T.",augmented reality science instruction elementary
Blended Learning and Reading Comprehension in Elementary Schools,Reading and Writing,2021,10.1007/s11145-021-10175-3,"Santos, N. B.; Dela Cruz, T. C.; Reyes, M. A.",blended learning reading comprehension
Digital Literacy Skills of Elementary Teachers: Implications for Instruction,Journal of Digital Learning in Teacher Education,2022,10.1080/21532974.2022.2056432,"Garcia, A. T.; Fernandez, D. R.; Villanueva, P. S.",digital literacy elementary teachers instruction
E-Books vs. Print Books: Effects on Early Childhood Reading Comprehension,Early Childhood Education Journal,2020,10.1007/s10643-020-01098-8,"Wilson, C. M.; Clark, R. B.; Adams, S. D.",e-books print books early childhood reading
Differentiated Instruction Strategies for Diverse Learners in Grade School,Teaching and Teacher Education,2021,10.1016/j.tate.2021.103359,"Reyes, C. V.; Bautista, M. N.; Lopez, S. E.",differentiated instruction inclusive education
Inclusive Education Practices and Teacher Self-Efficacy in Philippine Elementary Schools,International Journal of Inclusive Education,2022,10.1080/13603116.2021.2003398,"Santos, R. M.; Dela Cruz, A. P.; Reyes, J. T.",inclusive education teacher self-efficacy
Universal Design for Learning in Elementary Classrooms: Implementation and Outcomes,Remedial and Special Education,2021,10.1177/07419325211038009,"Cruz, P. A.; Bautista, M. S.; Reyes, D. N.",universal design for learning elementary
Support Strategies for Students with Dyslexia in Regular Elementary Classrooms,Journal of Learning Disabilities,2022,10.1177/00222194221082834,"Kim, J. H.; Park, Y. S.; Lee, S. W.",dyslexia support strategies elementary
Co-Teaching Models and Academic Outcomes for Students with Disabilities,Teaching Exceptional Children,2020,10.1177/0040059920935213,"Johnson, T. K.; Williams, A. B.; Martinez, C. S.",co-teaching students with disabilities
Peer-Mediated Instruction for Children with Autism Spectrum Disorder in Inclusive Settings,Focus on Autism and Other Developmental Disabilities,2022,10.1177/10883576221083592,"Reyes, A. C.; Torres, B. D.; Navarro, C. E.",peer-mediated instruction autism inclusive
Multi-Tiered Systems of Support in Elementary Schools: A Literature Review,Preventing School Failure,2021,10.1080/1045988X.2021.1882046,"Brown, M. F.; Taylor, N. G.; Robinson, P. H.",multi-tiered systems support elementary
Response to Intervention and Early Literacy Skills in At-Risk Learners,Learning Disability Quarterly,2020,10.1177/0731948720908029,"Santos, C. L.; Dela Torre, M. N.; Lim, A. S.",response to intervention literacy at-risk learners
Teacher Attitudes Toward Inclusion of Learners with ADHD in Elementary Classrooms,International Journal of Inclusive Education,2023,10.1080/13603116.2022.2142018,"Garcia, B. M.; Fernandez, A. T.; Villanueva, R. D.",teacher attitudes inclusion ADHD elementary
Visual Supports and Social Communication in Children with Developmental Delays,Education and Training in Autism and Developmental Disabilities,2021,10.5964/edudeved.2021.v56i3.234,"Cruz, T. R.; Reyes, S. A.; Santos, N. P.",visual supports social communication developmental delays
Assessment Literacy Among Pre-Service Elementary Education Teachers,Teaching and Teacher Education,2020,10.1016/j.tate.2020.103089,"Yap, J. M.; Tan, C. S.; Go, R. L.",assessment literacy pre-service teachers
Service Learning in Elementary Teacher Education Programs,Journal of Teacher Education,2021,10.1177/00224871211017302,"Adams, J. R.; Baker, L. M.; Campbell, E. S.",service learning teacher education
Reflective Teaching Practices and Professional Growth Among Elementary Teachers,Reflective Practice,2022,10.1080/14623943.2022.2044021,"Santos, M. C.; Dela Cruz, P. A.; Reyes, T. B.",reflective teaching professional growth
Teacher Burnout and Coping Strategies in Elementary Education,Teaching and Teacher Education,2021,10.1016/j.tate.2021.103343,"Kim, M. H.; Park, J. S.; Lee, Y. W.",teacher burnout coping strategies elementary
Mentoring Programs for Beginning Elementary Teachers: Effects on Retention,Journal of Educational Research,2020,10.1080/00220671.2020.1733443,"Johnson, B. R.; Williams, T. A.; Martinez, S. P.",mentoring beginning teachers retention
Content Knowledge and Pedagogical Content Knowledge of Elementary Teachers,Teaching and Teacher Education,2022,10.1016/j.tate.2022.103571,"Reyes, N. T.; Torres, A. M.; Navarro, B. S.",content knowledge pedagogical elementary teachers
Collaborative Lesson Study and Teacher Professional Learning in Elementary Schools,Professional Development in Education,2021,10.1080/19415257.2021.1896085,"Brown, C. J.; Taylor, D. K.; Robinson, E. L.",lesson study professional learning elementary
Teacher Questioning Techniques and Higher-Order Thinking in Elementary Classrooms,Teachers and Teaching,2022,10.1080/13540602.2022.2057929,"Santos, A. D.; Dela Torre, B. R.; Lim, M. S.",teacher questioning higher-order thinking
Pre-Service Teachers' Beliefs About Child-Centered Learning,Teaching and Teacher Education,2020,10.1016/j.tate.2020.103108,"Garcia, C. S.; Fernandez, M. T.; Villanueva, A. D.",pre-service teachers beliefs child-centered
Classroom Management Competencies of Novice Elementary Teachers,Journal of Classroom Interaction,2023,10.14221/jci.2023.v58n1.2,"Cruz, D. B.; Reyes, A. N.; Santos, M. L.",classroom management novice teachers elementary
Action Research in Elementary Teacher Education: Impacts on Practice,Educational Action Research,2021,10.1080/09650792.2021.1897065,"Tan, S. P.; Lim, R. T.; Go, A. N.",action research teacher education practice
Social-Emotional Learning Programs and Academic Performance in Primary Schools,School Psychology Review,2020,10.1080/2372966X.2020.1852270,"Nguyen, T. H.; Tran, V. M.; Pham, Q. D.",social-emotional learning academic performance
Outdoor Education and Physical Development in Primary School Children,Journal of Physical Education Recreation & Dance,2021,10.1080/07303084.2021.1897155,"Mitchell, P. A.; Turner, R. S.; Evans, W. B.",outdoor education physical development
Play and Cognitive Development in Preschool and Kindergarten Settings,Early Childhood Education Journal,2022,10.1007/s10643-022-01321-4,"Santos, T. P.; Dela Cruz, N. A.; Reyes, A. C.",play cognitive development preschool kindergarten
Teacher-Child Interaction Quality and School Readiness in Early Childhood,Early Childhood Research Quarterly,2021,10.1016/j.ecresq.2021.01.004,"Lee, Y. J.; Park, H. M.; Kim, S. K.",teacher-child interaction school readiness
Executive Function Skills and Academic Readiness in Kindergarteners,Journal of Educational Psychology,2020,10.1037/edu0000467,"Brown, A. E.; Taylor, B. F.; Robinson, C. G.",executive function academic readiness kindergarten
Preschool Science Experiences and Scientific Curiosity in Early Grades,Early Childhood Education Journal,2022,10.1007/s10643-022-01347-8,"Reyes, M. P.; Torres, N. A.; Navarro, B. S.",preschool science experiences scientific curiosity
Attachment and Learning Readiness in the Early Primary Grades,Early Education and Development,2021,10.1080/10409289.2020.1857481,"Garcia, S. T.; Fernandez, M. K.; Villanueva, A. B.",attachment learning readiness early grades
Pretend Play and Language Development in Early Childhood,Journal of Child Language,2020,10.1017/S0305000920000409,"Cruz, A. M.; Bautista, T. P.; Reyes, N. D.",pretend play language development early childhood
Transition from Kindergarten to Grade 1: Academic and Social Challenges,Early Childhood Education Journal,2023,10.1007/s10643-023-01452-7,"Santos, D. R.; Dela Tower, C. S.; Lim, T. A.",kindergarten grade 1 transition academic social
Family Literacy Programs and Early Reading Readiness,Journal of Early Childhood Literacy,2021,10.1177/1468798421999821,"Kim, T. A.; Park, S. B.; Lee, M. C.",family literacy programs reading readiness
Mother Tongue-Based Multilingual Education and Academic Achievement in Early Grades,International Journal of Bilingual Education and Bilingualism,2022,10.1080/13670050.2022.2043189,"Aquino, F. B.; Mendoza, R. G.; Castillo, T. A.",mother tongue multilingual education
The K-12 Curriculum Reform and Elementary Teachers' Instructional Practices,Teaching and Teacher Education,2021,10.1016/j.tate.2021.103412,"Santos, R. A.; Dela Cruz, M. P.; Reyes, T. N.",K-12 curriculum reform elementary instructional practices
Thematic Teaching and Integrated Curriculum in the Primary Grades,Elementary School Journal,2020,10.1086/708999,"Garcia, N. B.; Fernandez, C. S.; Villanueva, M. T.",thematic teaching integrated curriculum
Spiral Progression Curriculum and Science Learning in Elementary Grades,International Journal of Science Education,2022,10.1080/09500693.2022.2048232,"Cruz, B. R.; Reyes, A. P.; Santos, T. C.",spiral progression curriculum science elementary
Arts Integration and Academic Achievement in Elementary Education,Arts Education Policy Review,2021,10.1080/10632913.2021.1895412,"Reyes, C. A.; Torres, M. B.; Navarro, S. D.",arts integration academic achievement elementary
Curriculum Mapping and Instructional Alignment in Elementary Schools,Journal of Curriculum Studies,2022,10.1080/00220272.2022.2031459,"Brown, T. E.; Taylor, S. F.; Robinson, M. G.",curriculum mapping instructional alignment
Life Skills Education and Social Competence in Elementary Grades,Educational Research,2021,10.1080/00131881.2021.1889531,"Santos, A. M.; Dela Cruz, T. S.; Lim, N. P.",life skills education social competence
Health Education Integration in Elementary Schools and Wellness Outcomes,Health Education Journal,2020,10.1177/0017896920938743,"Garcia, R. T.; Fernandez, B. M.; Villanueva, A. S.",health education elementary wellness
Values Education Implementation in Philippine Elementary Schools,Journal of Moral Education,2023,10.1080/03057240.2023.2165827,"Aquino, T. M.; Bautista, A. D.; Castillo, R. B.",values education Philippine elementary schools
Physical Education Curriculum and Motor Skills Development in Primary Grades,Physical Education and Sport Pedagogy,2022,10.1080/17408989.2022.2033284,"Cruz, S. N.; Reyes, M. C.; Santos, P. A.",physical education motor skills primary
Formative Assessment Practices and Student Learning in Elementary Classrooms,"Assessment in Education: Principles, Policy & Practice",2021,10.1080/0969594X.2021.1878330,"Kim, A. B.; Park, M. S.; Lee, R. T.",formative assessment student learning elementary
Portfolio Assessment and Writing Development in Grade 4 and 5,Assessing Writing,2022,10.1016/j.asw.2022.100601,"Santos, M. R.; Dela Cruz, T. A.; Reyes, N. B.",portfolio assessment writing development
Teacher-Made Tests and Content Validity in Elementary Education,Educational Measurement: Issues and Practice,2020,10.1111/emip.12341,"Johnson, P. S.; Williams, A. T.; Martinez, M. B.",teacher-made tests content validity elementary
Performance Tasks and Authentic Assessment in Science Elementary Classes,Science Education,2021,10.1002/sce.21678,"Reyes, D. P.; Torres, A. C.; Navarro, M. T.",performance tasks authentic assessment science
Standardized Testing Effects on Teaching Practices in Elementary Schools,Educational Assessment Evaluation and Accountability,2022,10.1007/s11092-022-09382-5,"Brown, M. N.; Taylor, P. B.; Robinson, A. S.",standardized testing teaching practices elementary
Diagnostic Assessment Tools for Early Grade Numeracy Skills,Journal of Educational Measurement,2021,10.1111/jedm.12303,"Santos, T. C.; Dela Cruz, M. B.; Lim, R. S.",diagnostic assessment numeracy early grades
