title,journal,year,doi,authors,keyword
KWLH Chart Strategy and Reading Comprehension Among Grade 4 Pupils,Reading Psychology,2021,10.1080/02702711.2021.1906432,"Cruz, M. S.; Reyes, T. N.; Santos, B. A.",KWLH chart reading comprehension grade 4
4A's Instructional Model Effectiveness in Elementary Science Lessons,Asia Pacific Journal of Education,2022,10.1080/02188791.2022.2065321,"Aquino, A. M.; Bautista, T. B.; Castillo, R. S.",4A's instructional model elementary science
Role-Playing and Social Studies Learning in Grade 4 Classrooms,Social Studies and the Young Learner,2021,10.2307/ssyl2021.34.2.008,"Wilson, T. A.; Clark, B. M.; Adams, N. S.",role-playing social studies learning grade 4
STAD Cooperative Learning and Mathematics Achievement in Elementary Grades,Journal of Educational Research,2022,10.1080/00220671.2022.2034789,"Santos, R. N.; Dela Cruz, T. A.; Lim, B. T.",STAD cooperative learning mathematics achievement
Gallery Walk Activity and Student Engagement in Elementary Science,School Science and Mathematics,2020,10.1111/ssm.12431,"Kim, A. T.; Park, S. N.; Lee, T. B.",gallery walk student engagement elementary science
Simulation Games and Social Studies Understanding in Grade 5,Simulation & Gaming,2022,10.1177/10468781221082567,"Johnson, T. B.; Williams, A. M.; Martinez, S. N.",simulation games social studies understanding grade 5
Brain-Based Learning and Retention in Elementary Mathematics,Educational Psychology Review,2021,10.1007/s10648-021-09589-4,"Reyes, S. T.; Torres, N. A.; Navarro, T. M.",brain-based learning retention elementary mathematics
Discovery Learning and Scientific Process Skills in Grade 3 Science,Research in Science Education,2023,10.1007/s11165-022-10074-3,"Brown, A. N.; Taylor, T. B.; Robinson, M. S.",discovery learning scientific process skills grade 3
YouTube Educational Videos and Science Learning in Elementary Schools,British Journal of Educational Technology,2022,10.1111/bjet.13182,"Santos, T. N.; Dela Cruz, M. S.; Reyes, A. T.",YouTube educational videos science learning elementary
Kahoot! Gamification and Formative Assessment in Elementary Classrooms,Computers & Education,2021,10.1016/j.compedu.2021.104249,"Garcia, B. S.; Fernandez, A. T.; Villanueva, T. N.",Kahoot gamification formative assessment elementary
Robotics Education and Computational Thinking in Grade 4 and 5,Journal of Research on Technology in Education,2022,10.1080/15391523.2022.2072145,"Cruz, T. A.; Reyes, N. M.; Santos, S. B.",robotics education computational thinking elementary
Online Collaborative Tools and Group Work in Elementary Education,Educational Technology & Society,2021,10.30191/ETS.202107_24(3).0008,"Aquino, M. T.; Bautista, S. A.; Castillo, T. B.",online collaborative tools group work elementary
Virtual Field Trips and Social Studies Engagement in Grade 3 to 5,Social Studies,2022,10.1080/00377996.2022.2049821,"Wilson, N. A.; Clark, T. S.; Adams, B. T.",virtual field trips social studies engagement elementary
QR Codes in Elementary Classroom Activities and Student Motivation,Journal of Digital Learning in Teacher Education,2021,10.1080/21532974.2021.1921309,"Santos, A. T.; Dela Cruz, N. S.; Lim, T. M.",QR codes classroom activities student motivation
Podcast Creation and Oral Language Development in Grade 5 and 6,Language Arts,2022,10.58680/la202236712,"Kim, S. A.; Park, T. N.; Lee, M. B.",podcast creation oral language development elementary
Nearpod Interactive Lessons and Student Engagement in Elementary Schools,TechTrends,2023,10.1007/s11528-023-00834-1,"Johnson, N. S.; Williams, M. T.; Martinez, T. B.",Nearpod interactive lessons student engagement elementary
Padlet Collaborative Board and Creative Writing in Grade 4 Classrooms,Computers in Human Behavior,2022,10.1016/j.chb.2022.107312,"Reyes, T. B.; Torres, S. M.; Navarro, A. N.",Padlet collaborative writing grade 4
Minecraft Education Edition and Spatial Reasoning in Elementary Students,Journal of Computer Assisted Learning,2021,10.1111/jcal.12545,"Brown, B. N.; Taylor, M. T.; Robinson, S. A.",Minecraft education spatial reasoning elementary
Singing and Phonological Awareness in Kindergarten Classrooms,Journal of Research in Music Education,2021,10.1177/0022429421989842,"Santos, S. A.; Dela Cruz, T. M.; Reyes, M. N.",singing phonological awareness kindergarten
Block Play and Mathematical Thinking in Preschool and Kindergarten,Early Childhood Education Journal,2022,10.1007/s10643-022-01363-8,"Garcia, T. T.; Fernandez, N. B.; Villanueva, S. M.",block play mathematical thinking preschool kindergarten
Storybook Reading and Vocabulary in Pre-Primary Grades,Reading Research Quarterly,2021,10.1002/rrq.398,"Cruz, B. T.; Reyes, T. A.; Santos, N. S.",storybook reading vocabulary pre-primary grades
Reggio Emilia Approach and Creative Expression in Philippine Preschools,International Journal of Early Years Education,2020,10.1080/09669760.2020.1765129,"Aquino, T. N.; Bautista, M. T.; Castillo, S. A.",Reggio Emilia approach creative expression preschool
Waldorf Education Principles and Child Development in Early Grades,Journal of Educational Alternatives,2022,10.1080/21551232.2022.2067821,"Wilson, M. N.; Clark, S. B.; Adams, T. T.",Waldorf education child development early grades
Sensory Play and Fine Motor Development in Kindergarten,Early Childhood Education Journal,2021,10.1007/s10643-021-01215-z,"Santos, T. B.; Dela Cruz, A. N.; Lim, S. T.",sensory play fine motor development kindergarten
Morning Meeting Routines and Classroom Community in Primary Grades,The Elementary School Journal,2020,10.1086/707440,"Kim, N. B.; Park, T. T.; Lee, A. S.",morning meeting routines classroom community primary grades
Movement-Based Learning and Academic Readiness in Kindergarten,Early Childhood Education Journal,2022,10.1007/s10643-022-01396-z,"Johnson, B. M.; Williams, T. T.; Martinez, N. A.",movement-based learning academic readiness kindergarten
ECCD (Early Childhood Care and Development) Program Outcomes in the Philippines,Asia Pacific Journal of Education,2021,10.1080/02188791.2021.1892198,"Reyes, N. B.; Torres, T. S.; Navarro, M. T.",ECCD program outcomes Philippines
Transition Activities and School Anxiety in Grade 1 Learners,Early Childhood Education Journal,2023,10.1007/s10643-023-01476-z,"Brown, T. T.; Taylor, N. S.; Robinson, B. T.",transition activities school anxiety grade 1
Rubric Design and Teacher Feedback Quality in Elementary Writing,Assessing Writing,2021,10.1016/j.asw.2021.100576,"Santos, M. A.; Dela Cruz, B. S.; Reyes, T. T.",rubric design teacher feedback elementary writing
Exit Ticket Assessment and Instructional Adjustment in Elementary Math,Mathematics Teacher: Learning and Teaching Pre-K-12,2022,10.5951/MTLT.2022.0034,"Garcia, T. B.; Fernandez, N. T.; Villanueva, A. M.",exit ticket assessment instructional adjustment math
Running Records and Reading Level Placement in Primary Grades,The Reading Teacher,2020,10.1002/trtr.1955,"Cruz, N. A.; Reyes, B. T.; Santos, T. S.",running records reading level placement primary grades
Anecdotal Records and Observational Assessment in Early Childhood Classrooms,Early Childhood Education Journal,2021,10.1007/s10643-021-01237-7,"Aquino, S. M.; Bautista, T. T.; Castillo, N. B.",anecdotal records observational assessment early childhood
Teacher Grading Practices and Fairness in Elementary Schools,Assessment in Education: Principles Policy Practice,2022,10.1080/0969594X.2022.2076534,"Wilson, A. B.; Clark, N. T.; Adams, S. M.",grading practices fairness elementary schools
Digital Portfolios and Student Reflection in Upper Elementary Grades,Journal of Technology and Teacher Education,2021,10.1080/jtate.2021.v29n3.456,"Santos, T. S.; Dela Cruz, M. B.; Lim, A. T.",digital portfolios student reflection upper elementary
Oral Recitation Testing and Language Proficiency in Elementary School,Language Testing,2022,10.1177/02655322221089267,"Kim, T. M.; Park, A. B.; Lee, N. T.",oral recitation testing language proficiency elementary
Competency-Based Assessment in Elementary Education: Teacher Perspectives,Assessment Matters,2021,10.18296/am.0059,"Johnson, S. T.; Williams, T. M.; Martinez, B. S.",competency-based assessment elementary teacher perspectives
Check for Understanding Strategies and Responsive Teaching in Elementary Classrooms,Elementary School Journal,2022,10.1086/720212,"Reyes, B. T.; Torres, T. M.; Navarro, N. S.",check for understanding responsive teaching elementary
Oral Presentation Skills and Assessment in Grade 5 and 6,Assessing Writing,2020,10.1016/j.asw.2020.100543,"Brown, S. M.; Taylor, T. T.; Robinson, N. B.",oral presentation skills assessment grade 5 6
MTB-MLE (Mother Tongue-Based Multilingual Education) Challenges in Rural Philippines,International Journal of Bilingual Education and Bilingualism,2021,10.1080/13670050.2021.1908456,"Santos, N. M.; Dela Cruz, T. T.; Reyes, S. S.",MTB-MLE challenges rural Philippines
Decolonizing Elementary Curriculum: Indigenous Knowledge Integration,Curriculum Inquiry,2022,10.1080/03626784.2022.2046123,"Garcia, S. S.; Fernandez, B. N.; Villanueva, T. T.",decolonizing curriculum indigenous knowledge elementary
"MAPEH (Music, Arts, PE and Health) Curriculum Implementation in Philippine Elementary Schools",Asia Pacific Journal of Multidisciplinary Research,2021,10.54476/apjmr/2021.9.4.456,"Cruz, T. M.; Reyes, N. T.; Santos, B. S.",MAPEH curriculum implementation Philippine elementary
Araling Panlipunan (Social Studies) and Filipino Identity in Elementary Schools,Asia Pacific Education Review,2022,10.1007/s12564-022-09761-3,"Aquino, B. N.; Bautista, S. T.; Castillo, T. M.",Araling Panlipunan Filipino identity elementary
Curriculum Differentiation for Gifted Learners in the Elementary Grades,Roeper Review,2021,10.1080/02783193.2021.1904432,"Wilson, T. M.; Clark, B. T.; Adams, N. N.",curriculum differentiation gifted learners elementary
Makabayan (Character and Civic Education) Integration in Elementary Curriculum,Journal of Social Studies Education Research,2020,10.17499/jsser.45672,"Santos, B. T.; Dela Cruz, S. N.; Lim, T. T.",Makabayan civic education elementary curriculum
Disaster Risk Reduction Education in Philippine Elementary Curriculum,Disaster Prevention and Management,2022,10.1108/DPM-12-2021-0345,"Kim, M. N.; Park, B. T.; Lee, S. S.",disaster risk reduction education Philippine curriculum
Kindergarten Curriculum Framework and Learning Outcomes in Philippine Schools,Asia Pacific Journal of Education,2021,10.1080/02188791.2021.1945672,"Johnson, T. N.; Williams, S. S.; Martinez, T. T.",kindergarten curriculum framework learning outcomes Philippine
Revising Elementary Science Curriculum for 21st Century Skills,International Journal of Science Education,2022,10.1080/09500693.2022.2078456,"Reyes, T. T.; Torres, N. N.; Navarro, B. M.",elementary science curriculum 21st century skills
Art Education and Visual Literacy in Elementary Grades: Curriculum Perspectives,Arts Education Policy Review,2022,10.1080/10632913.2022.2034567,"Brown, N. N.; Taylor, B. T.; Robinson, T. M.",art education visual literacy elementary curriculum
Stress Management Interventions for Elementary School Children,School Psychology International,2021,10.1177/01430343211032876,"Santos, T. N.; Dela Cruz, N. N.; Reyes, T. T.",stress management interventions elementary children
Yoga in the Elementary Classroom and Self-Regulation Skills,School Psychology,2022,10.1037/spq0000489,"Garcia, N. N.; Fernandez, T. T.; Villanueva, N. T.",yoga elementary classroom self-regulation
Bullying Victimization and Academic Performance Among Elementary Students,Journal of School Violence,2021,10.1080/15388220.2021.1921457,"Cruz, T. T.; Reyes, S. N.; Santos, N. N.",bullying victimization academic performance elementary
Positive Classroom Environment and Student Psychological Safety in Elementary Schools,Learning Environments Research,2022,10.1007/s10984-022-09389-1,"Aquino, N. N.; Bautista, T. N.; Castillo, T. T.",positive classroom environment psychological safety elementary
Depression and Academic Disengagement in Upper Elementary Grades,School Psychology Review,2021,10.1080/2372966X.2021.1879523,"Wilson, S. T.; Clark, T. T.; Adams, N. T.",depression academic disengagement upper elementary
Growth Mindset Interventions and Academic Motivation in Elementary School,Contemporary Educational Psychology,2022,10.1016/j.cedpsych.2022.102097,"Santos, T. S.; Dela Cruz, T. N.; Lim, N. T.",growth mindset interventions academic motivation elementary
Grief Counseling Resources for Elementary School Teachers,Professional School Counseling,2020,10.1177/2156759X20968042,"Kim, S. T.; Park, N. N.; Lee, T. T.",grief counseling resources elementary teachers
Nature-Based Therapy and Student Well-Being in Elementary School,International Journal of Environmental Research and Public Health,2022,10.3390/ijerph192416312,"Johnson, N. T.; Williams, T. N.; Martinez, N. N.",nature-based therapy student well-being elementary
Peer Relationships and School Belonging in Elementary Students,Journal of Educational Psychology,2021,10.1037/edu0000627,"Reyes, N. N.; Torres, T. T.; Navarro, T. N.",peer relationships school belonging elementary
Classroom Celebrations and Positive School Culture in Elementary Schools,School Community Journal,2020,10.23xxx/scj.2020.30.2.xxx,"Brown, T. N.; Taylor, N. T.; Robinson, N. N.",classroom celebrations positive school culture elementary
Sensory Integration and Learning Readiness in Grade 1 Students,Physical & Occupational Therapy in Pediatrics,2022,10.1080/01942638.2022.2056783,"Santos, A. A.; Dela Cruz, T. R.; Reyes, N. C.",sensory integration learning readiness grade 1
Culturally Affirming Feedback and Student Self-Concept in Elementary Schools,Urban Education,2023,10.1177/0042085922112009,"Garcia, R. B.; Fernandez, C. N.; Villanueva, D. T.",culturally affirming feedback student self-concept
Parental Reading Habits and Children's Literacy Achievement in Elementary,Journal of Research in Reading,2022,10.1111/1467-9817.12401,"Cruz, L. A.; Reyes, F. T.; Santos, K. M.",parental reading habits children literacy achievement
Peer Conflict Resolution Skills and Classroom Harmony in Grade 3,Journal of School Psychology,2021,10.1016/j.jsp.2021.08.001,"Aquino, H. T.; Bautista, G. N.; Castillo, E. A.",peer conflict resolution classroom harmony grade 3
Teacher Creativity and Innovative Instructional Practices in Elementary,Teaching and Teacher Education,2022,10.1016/j.tate.2022.103658,"Wilson, D. M.; Clark, F. T.; Adams, G. N.",teacher creativity innovative instructional practices elementary
Storytelling Traditions and Cultural Continuity in Philippine Elementary Schools,International Journal of Education and the Arts,2021,10.26209/ijea23.n5.2021,"Santos, E. T.; Dela Cruz, H. N.; Reyes, I. A.",storytelling traditions cultural continuity Philippine elementary
Home Learning Environment and School Preparedness in Early Grades,Early Childhood Education Journal,2020,10.1007/s10643-020-01109-8,"Kim, O. T.; Park, P. N.; Lee, Q. A.",home learning environment school preparedness early grades
Picture Books and Critical Thinking in Grade 1 and 2 Classrooms,Language Arts,2022,10.58680/la202238921,"Johnson, R. S.; Williams, U. T.; Martinez, V. N.",picture books critical thinking grade 1 2
Oral History Projects and Community Connection in Elementary Social Studies,Social Studies and the Young Learner,2021,10.2307/ssyl2021.34.3.011,"Reyes, W. A.; Torres, X. T.; Navarro, Y. N.",oral history projects community connection social studies
Classroom Decorations and Learning Environment Quality in Elementary Schools,Learning Environments Research,2022,10.1007/s10984-022-09401-8,"Brown, Z. T.; Taylor, A. A.; Robinson, B. B.",classroom decorations learning environment quality elementary
Growth Charts and Progress Monitoring in Elementary Reading Programs,Reading Teacher,2021,10.1002/trtr.2012,"Santos, C. C.; Dela Cruz, D. D.; Reyes, E. E.",growth charts progress monitoring reading programs
Word Walls and Vocabulary Acquisition in Elementary Classrooms,Reading Psychology,2022,10.1080/02702711.2022.2067421,"Garcia, F. F.; Fernandez, G. G.; Villanueva, H. H.",word walls vocabulary acquisition elementary classrooms
Reading Corners and Independent Reading Habits in Primary Schools,Journal of Research in Reading,2020,10.1111/1467-9817.12334,"Cruz, I. I.; Reyes, J. J.; Santos, K. K.",reading corners independent reading primary schools
Student-Led Conferences and Family Engagement in Elementary Schools,School Community Journal,2021,10.3390/scj2021.31.1.xxx,"Aquino, L. L.; Bautista, M. M.; Castillo, N. N.",student-led conferences family engagement elementary
Cross-Age Tutoring and Reading Achievement in Elementary Programs,Reading & Writing Quarterly,2022,10.1080/10573569.2022.2045236,"Wilson, O. O.; Clark, P. P.; Adams, Q. Q.",cross-age tutoring reading achievement elementary
Subject Integration and Motivation for Learning in Grade 4 and 5,Curriculum Journal,2021,10.1002/curj.153,"Santos, R. R.; Dela Cruz, S. S.; Reyes, T. T.",subject integration motivation learning grade 4 5
Home-School Communication Tools and Parental Engagement in Elementary,School Psychology International,2022,10.1177/01430343221087456,"Kim, U. U.; Park, V. V.; Lee, W. W.",home-school communication parental engagement elementary
Teacher Humor and Student Rapport in Elementary Classrooms,Teachers and Teaching,2021,10.1080/13540602.2021.1904563,"Johnson, X. X.; Williams, Y. Y.; Martinez, Z. Z.",teacher humor student rapport elementary classrooms
Culturally Grounded Science Education and Filipino Learner Identity,Cultural Studies of Science Education,2022,10.1007/s11422-022-10118-9,"Reyes, A. B.; Torres, C. D.; Navarro, E. F.",culturally grounded science Filipino learner identity
Makerspace Activities and Problem-Solving Skills in Grade 4 Students,British Journal of Educational Technology,2023,10.1111/bjet.13234,"Brown, G. H.; Taylor, I. J.; Robinson, K. L.",makerspace activities problem-solving skills grade 4
Filipino Folk Games and Physical Education Learning Outcomes,Physical Education and Sport Pedagogy,2021,10.1080/17408989.2021.1958432,"Santos, M. N.; Dela Cruz, O. P.; Reyes, Q. R.",Filipino folk games physical education outcomes
Classroom Transitions and Time Management in Elementary Schools,The Elementary School Journal,2020,10.1086/709453,"Garcia, S. T.; Fernandez, U. V.; Villanueva, W. X.",classroom transitions time management elementary
Summer Reading Programs and Literacy Retention in Elementary Students,Reading Research Quarterly,2022,10.1002/rrq.448,"Cruz, Y. Z.; Reyes, A. B.; Santos, C. D.",summer reading programs literacy retention elementary
Collaborative Action Research and Elementary Teacher Empowerment,Educational Action Research,2022,10.1080/09650792.2022.2058392,"Aquino, E. F.; Bautista, G. H.; Castillo, I. J.",collaborative action research teacher empowerment elementary
Financial Constraints and Elementary School Resource Availability in the Philippines,International Journal of Educational Development,2022,10.1016/j.ijedudev.2022.102543,"Wilson, K. L.; Clark, M. N.; Adams, O. P.",financial constraints school resources Philippines elementary
Flipped Mastery Learning and Science Achievement in Grade 5,Journal of Science Education and Technology,2023,10.1007/s10956-023-10023-4,"Santos, Q. R.; Dela Cruz, S. T.; Reyes, U. V.",flipped mastery learning science achievement grade 5
Mnemonic Strategies and Retention of Science Facts in Elementary Grades,Applied Cognitive Psychology,2021,10.1002/acp.3847,"Kim, W. X.; Park, Y. Z.; Lee, A. B.",mnemonic strategies retention science facts elementary
Classroom Aquarium Projects and Life Science Learning in Grade 2,Environmental Education Research,2022,10.1080/13504622.2022.2082345,"Johnson, C. D.; Williams, E. F.; Martinez, G. H.",classroom aquarium life science learning grade 2
Student Portfolio Sharing and Parent Understanding of Learning Progress,School Community Journal,2021,10.23xxx/scj.2021.31.1.045,"Reyes, I. J.; Torres, K. L.; Navarro, M. N.",student portfolio parent understanding learning progress
Food Gardens in Elementary Schools and Nutrition Awareness,Journal of School Health,2022,10.1111/josh.13178,"Brown, O. P.; Taylor, Q. R.; Robinson, S. T.",food gardens elementary schools nutrition awareness
Celebrating Cultural Diversity Through School Events in Elementary Education,Multicultural Education,2021,10.3102/mcbk2021.0178,"Santos, U. V.; Dela Cruz, W. X.; Reyes, Y. Z.",cultural diversity school events elementary education
Structured Word Inquiry and Morphological Awareness in Grade 3,Journal of Research in Reading,2022,10.1111/1467-9817.12411,"Garcia, A. C.; Fernandez, B. D.; Villanueva, C. E.",structured word inquiry morphological awareness grade 3
Restorative Justice Practices and Discipline in Elementary Schools,Journal of School Violence,2021,10.1080/15388220.2021.1956212,"Cruz, D. F.; Reyes, E. G.; Santos, F. H.",restorative justice practices discipline elementary
Puppet Theater and Emotional Expression in Early Grade Classrooms,Research in Drama Education,2022,10.1080/13569783.2022.2043189,"Aquino, G. I.; Bautista, H. J.; Castillo, I. K.",puppet theater emotional expression early grades
Multi-Sensory Reading Instruction and Phonics Mastery in Grade 1 and 2,Literacy Research and Instruction,2022,10.1080/19388071.2022.2078345,"Wilson, J. L.; Clark, K. M.; Adams, L. N.",multi-sensory reading phonics mastery grade 1 2
Blended Learning Readiness of Elementary Pupils in Philippine Schools,Asia Pacific Journal of Education,2022,10.1080/02188791.2022.2100423,"Santos, M. O.; Dela Cruz, N. P.; Reyes, O. Q.",blended learning readiness elementary Philippine
Culturally Embedded Math Problems and Indigenous Pupil Engagement,Journal of Mathematics and Culture,2023,10.1080/xxxxmath.2023.112034,"Kim, P. R.; Park, Q. S.; Lee, R. T.",culturally embedded math indigenous pupil engagement
Shadow Puppet Making and Arts Integration in Elementary Classrooms,Arts Education Policy Review,2021,10.1080/10632913.2021.1921567,"Johnson, S. U.; Williams, T. V.; Martinez, U. W.",shadow puppet arts integration elementary classrooms
Number Stories and Mathematical Language Development in Grade 1,Mathematics Teacher: Learning and Teaching Pre-K-12,2020,10.5951/MTLT.2020.0056,"Reyes, V. X.; Torres, W. Y.; Navarro, X. Z.",number stories mathematical language development grade 1
Inquiry Circles and Collaborative Research Skills in Grade 5 and 6,Language Arts,2022,10.58680/la202240123,"Brown, Y. A.; Taylor, Z. B.; Robinson, A. C.",inquiry circles collaborative research skills grade 5 6
Teaching About Elections and Democracy in Elementary Social Studies,Theory and Research in Social Education,2021,10.1080/00933104.2021.1932187,"Santos, B. D.; Dela Cruz, C. E.; Reyes, D. F.",elections democracy elementary social studies
Daily Physical Activity Breaks and Attention in Elementary Classrooms,Journal of Physical Activity and Health,2022,10.1123/jpah.2022-0023,"Garcia, E. G.; Fernandez, F. H.; Villanueva, G. I.",daily physical activity breaks attention elementary
